id,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title
76341,150000000,"['Action', 'Adventure', 'Science Fiction']",https://www.warnerbros.com/movies/mad-max-fury-road,tt1392190,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",362.449,/hA2ple9q4qnwxp3hKVNhroipsir.jpg,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Kennedy Miller Mitchell', 'Kennedy Miller Productions']","['Australia', 'United States of America']",2015-05-13,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The future belongs to the mad.,Mad Max: Fury Road
603,63000000,"['Action', 'Science Fiction']",http://www.warnerbros.com/matrix,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",410.901,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros. Pictures']",['United States of America'],1999-03-31,136,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Believe the unbelievable.,The Matrix
348,11000000,"['Horror', 'Science Fiction']",https://www.20thcenturystudios.com/movies/alien,tt0078748,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",443.285,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,"['20th Century Fox', 'Brandywine Productions']","['United States of America', 'United Kingdom']",1979-05-25,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"In space, no one can hear you scream.",Alien
263115,97000000,"['Action', 'Drama', 'Science Fiction']",https://www.20thcenturystudios.com/movies/logan,tt3315342,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",406.539,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,"['Hutch Parker Entertainment', ""The Donners' Company"", 'Genre Films', '20th Century Fox', 'Marvel Entertainment', 'TSG Entertainment']",['United States of America'],2017-02-28,137,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,His time has come.,Logan
299537,152000000,"['Action', 'Adventure', 'Science Fiction']",https://www.marvel.com/movies/captain-marvel,tt4154664,en,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",402.211,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,['Marvel Studios'],['United States of America'],2019-03-06,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Higher. Further. Faster.,Captain Marvel
475557,55000000,"['Crime', 'Thriller', 'Drama']",http://www.jokermovie.net/,tt7286456,en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",419.233,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,"['Warner Bros. Pictures', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'DC Films']","['Canada', 'United States of America']",2019-10-01,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Put on a happy face.,Joker
62,12000000,"['Science Fiction', 'Mystery', 'Adventure']",http://2001spaceodysseymovie.com,tt0062622,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",383.111,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,"['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer']","['United Kingdom', 'United States of America']",1968-04-02,149,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,The ultimate trip.,2001: A Space Odyssey
335983,116000000,"['Science Fiction', 'Action']",https://www.sonypictures.com/movies/venom,tt1270797,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",472.388,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,"['Matt Tolmach Productions', 'Pascal Pictures', 'Marvel Entertainment', 'Tencent Pictures', 'Arad Productions', 'Columbia Pictures']","['China', 'United States of America']",2018-09-28,112,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Malay', 'iso_639_1': 'ms', 'name': 'Bahasa melayu'}]",Released,The world has enough Superheroes.,Venom
141,4500000,"['Fantasy', 'Drama', 'Mystery']",,tt0246578,en,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",381.959,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,"['Flower Films', 'Gaylord Films', 'Adam Fields Productions', 'Pandora Cinema']",['United States of America'],2001-01-19,114,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,YOU CAN NEVER GO TOO FAR.,Donnie Darko
284052,180000000,"['Action', 'Adventure', 'Fantasy']",http://marvel.com/doctorstrange,tt1211837,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",354.23,/7WfK17BXE6szXlm4WOxfswgbdsL.jpg,['Marvel Studios'],['United States of America'],2016-10-25,115,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The impossibilities are endless.,Doctor Strange
339846,69000000,"['Comedy', 'Action', 'Crime']",,tt1469304,en,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",359.229,/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg,"['Uncharted', 'Paramount', 'Flynn Picture Company', 'Fremantle Productions', 'Seven Bucks Productions', 'Skydance Media', 'The Montecito Picture Company']",['United States of America'],2017-05-25,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Don't worry, summer is coming",Baywatch
381288,9000000,"['Horror', 'Thriller']",http://www.splitmovie.com/,tt4972582,en,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",364.699,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,"['Universal Pictures', 'Blinding Edge Pictures', 'Blumhouse Productions']",['United States of America'],2017-01-19,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,Split
