revenue,prediction_label
87987056,81889448
73090608,94778704
36230220,59954928
136600000,116185288
177200000,132336896
432243296,234985424
11336986,103413584
75100000,128621928
4360000,89334776
6900000,98457336
124700000,109421504
132965488,115604360
5735963,97324456
132965488,116670440
132965488,95302256
6817535,109755144
35150960,92145928
74000000,75648080
231976432,113211560
89500000,106213880
1100000,73055880
132965488,101947200
97076152,99527736
48428064,101179584
592461760,211362640
209838560,119773120
191185904,156895760
132965488,121818592
1300000,56257604
3606395,102599056
160300000,135825680
83453536,137897088
7592465,39476220
760099008,162048816
216972544,121954000
12379402,72600832
42400000,86799112
38058336,126050272
219788704,142772384
155010032,133161160
104399552,130459936
205537936,115885832
96976272,68989976
18867660,117150608
384056480,142421392
4366460,108911848
8636706,83784808
7060876,96030496
3639345,103031144
136579,95888728
508600000,143118560
5021219,122982320
19700000,161030240
177300000,106580984
161626128,130476136
132965488,122026840
27100028,59912052
12751667,105077112
319700000,141746496
44907260,127591688
140000000,107380120
17092452,87720888
333000000,137670800
213200000,94953920
41744720,100902032
34694,121061096
77063920,107079024
5400000,124619000
38619404,103786952
220889440,106904584
155160048,115896936
1236000000,166487216
90894960,91349720
150300000,101050376
529100000,241658768
46236000,90372912
132965488,132291472
347325792,145395952
319713888,137840944
63363580,141915136
132965488,100267912
20690780,72372536
25500000,84624656
14700000,105094968
7000000,96190952
32855818,62881716
21600000,131382752
40500000,110971768
47010480,99221400
70060496,102102960
71255000,95385704
924317568,182162000
67300000,107567880
99300000,107079728
44700000,76505680
12448676,77757672
205700000,97469104
219400000,155945312
32981716,91638832
1197741,85228456
82500000,104095456
198636864,123265616
214115536,128831640
26126836,103401936
1560142,102470960
1200582,106288432
37800000,120729792
40600000,113800112
17986780,123270288
2641357,117718592
30900000,71853512
394638272,119958584
17985892,78684392
7246979,78261976
2264162304,145378176
132965488,84807944
110217000,119407016
169327680,153738336
162400000,92104224
467381568,174267072
96800000,111045056
177512032,136842096
181700000,148878064
21164800,110128816
539000000,173260976
20412216,88668136
132965488,108068888
31635150,119398448
75500000,117994008
54700000,95728808
21328962,144700368
1015744,102399512
31794718,115654592
36690068,77216920
332000000,136751568
45172992,95871552
6903033,86047720
17265488,82083224
71508440,84825008
15156200,134678864
389925984,123150280
77516304,137584592
108000000,131123800
51000000,126042944
55101304,90169664
84431624,95829448
192700000,84154776
32900000,118917496
156497328,153508512
132965488,116486592
2247500,81440616
120000000,133989224
170362576,104729808
301913120,134713344
38288028,99114360
113231080,105042384
111823048,105437136
97837136,105774232
496000000,175577776
90450008,110627208
682700032,158234640
50315140,105819704
132965488,67274864
29907684,46792744
41300000,115595096
53424680,113396424
21502976,85964464
122563536,110801160
6738764,102631032
21800000,104361152
48443736,67439280
328203520,91496568
411000000,149403040
747862784,152455472
25928972,65819816
760899968,165104800
11152071,73923128
672800000,110852048
165002528,109851216
433888864,75894408
115647424,111635576
132965488,112279192
3324330,98795328
6461949,85708016
31429330,97888992
164000000,75677192
2120439,93460336
704709632,143328032
91509152,100784320
119975088,94424608
15447154,77428984
26900000,112435224
880674624,129850432
757930688,171638512
50517764,98457880
159291808,109471576
156974560,141506560
303144160,115243824
28000000,95748712
54819300,105260376
49200000,102281776
222724176,112814680
2053469,99069448
34737200,121452712
52501540,96137672
3758846,97597040
22863596,100859936
19472524,81798656
48482,86875368
164200000,125062712
418800000,147834032
4221036,87789272
73621640,180714704
12121618,94244864
12396383,91865032
132965488,98774792
132965488,94958288
75026328,131607800
127700000,69785720
229147504,148039872
347337792,183666976
34562924,102284064
405000000,191421312
7563728,100521080
105300000,94962464
2159041,144276944
132965488,103353280
